序號,清單類型,分類 ID,分類名稱,分類英文名,療程名稱,Slug,副標,程式圖片引用,IMAGES 鍵名,圖片 URL,離線檔名,寬 px,高 px,圖片來源,顯示位置,核對備註,建議替換圖 URL,負責人確認
1,療程分類 SERVICE_CATEGORIES,laser,雷射電音波,Laser & Energy,PicoSure 755 皮秒蜂巢雷射,,24h亮白・膠原新生,IMAGES.treatmentPicosure,treatmentPicosure,https://d2xsxph8kpxj0f.cloudfront.net/310519663343349747/NiMiPR2Gq7yAMFRDKJg9Wa/treatment-picosure-new_5b56a1d9.png,treatment-picosure-new_5b56a1d9.png,359,53,Manus CDN,療程列表 ServicesSection,圖片過扁（不適合卡片主圖）；解析度過低；比例 6.77:1（建議 16:9）；CDN 素材為橫幅條（359×53）；同一 URL 重複使用 2 次,,
2,療程分類 SERVICE_CATEGORIES,laser,雷射電音波,Laser & Energy,海芙電波,,深層緊緻・膠原重組,IMAGES.treatmentHaifu,treatmentHaifu,https://d2xsxph8kpxj0f.cloudfront.net/310519663343349747/NiMiPR2Gq7yAMFRDKJg9Wa/treatment-haifu-new_f1187c18.png,treatment-haifu-new_f1187c18.png,359,53,Manus CDN,療程列表 ServicesSection,圖片過扁（不適合卡片主圖）；解析度過低；比例 6.77:1（建議 16:9）；CDN 素材為橫幅條（359×53）；同一 URL 重複使用 2 次,,
3,療程分類 SERVICE_CATEGORIES,laser,雷射電音波,Laser & Energy,Z音波拉提,,SMAS筋膜層拉提,IMAGES.treatmentZwave,treatmentZwave,https://d2xsxph8kpxj0f.cloudfront.net/310519663343349747/NiMiPR2Gq7yAMFRDKJg9Wa/treatment-zwave-new_9112cd9b.jpeg,treatment-zwave-new_9112cd9b.jpeg,1200,793,Manus CDN,療程列表 ServicesSection,與 treatmentAmpule 為同一檔案,,
4,療程分類 SERVICE_CATEGORIES,laser,雷射電音波,Laser & Energy,索夫波,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
5,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,Sunmax 膠原蛋白（熊貓針）,,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-8-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-8-768x508.jpg,縮圖-拷貝-8-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
6,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,VivaBella 薇貝拉,,新一代膠原增生劑,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-6-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-6-768x508.jpg,縮圖-拷貝-6-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
7,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,肉毒桿菌,,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/肉毒桿菌BOTOX.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/肉毒桿菌BOTOX.jpg,肉毒桿菌BOTOX.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
8,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,玻尿酸填充,,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/玻尿酸填充喬亞登.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/玻尿酸填充喬亞登.jpg,玻尿酸填充喬亞登.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
9,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,Volite 長效保濕針,,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/volite長效保濕針.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/volite長效保濕針.jpg,volite長效保濕針.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
10,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,Sculptra 舒顏萃,,聚左旋乳酸,https://www.drappletree.com.tw/wp-content/uploads/2021/04/舒顏翠.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/舒顏翠.jpg,舒顏翠.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
11,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,Ellanse 洢蓮絲,,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/依蓮絲.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/依蓮絲.jpg,依蓮絲.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
12,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,AestheFill 艾麗斯,,聚雙旋乳酸,https://www.drappletree.com.tw/wp-content/uploads/2021/04/AestheFill-艾麗斯-new-768x509.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/AestheFill-艾麗斯-new-768x509.jpg,AestheFill-艾麗斯-new-768x509.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
13,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,塑立愛 少女立提線,,埋線拉提,https://www.drappletree.com.tw/wp-content/uploads/2021/04/埋線拉提塑立愛-少女立提線.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/埋線拉提塑立愛-少女立提線.jpg,埋線拉提塑立愛-少女立提線.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
14,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,BELKYRA 倍克脂,,消脂注射,https://www.drappletree.com.tw/wp-content/uploads/2021/04/BELKYRA倍克脂-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/BELKYRA倍克脂-1.jpg,BELKYRA倍克脂-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
15,療程分類 SERVICE_CATEGORIES,injection,微整注射,Injection,腋下止汗,,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/腋下止汗MIRADRY.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/04/腋下止汗MIRADRY.jpg,腋下止汗MIRADRY.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
16,療程分類 SERVICE_CATEGORIES,surgery-eye,整型外科｜眼部,Eye Surgery,雙眼皮手術,,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/42f92e1c615755c73386aafe7958e54fd7fc049a-768x560.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/42f92e1c615755c73386aafe7958e54fd7fc049a-768x560.jpg,42f92e1c615755c73386aafe7958e54fd7fc049a-768x560.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
17,療程分類 SERVICE_CATEGORIES,surgery-eye,整型外科｜眼部,Eye Surgery,開眼頭/開眼尾,,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/50cbc5094931dd777718a40b885c5036f15ec925-768x494.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/50cbc5094931dd777718a40b885c5036f15ec925-768x494.jpg,50cbc5094931dd777718a40b885c5036f15ec925-768x494.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
18,療程分類 SERVICE_CATEGORIES,surgery-eye,整型外科｜眼部,Eye Surgery,眼袋手術,,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/17d20252eea117c843f18b0534b2b27d0e893bbf-768x479.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/17d20252eea117c843f18b0534b2b27d0e893bbf-768x479.jpg,17d20252eea117c843f18b0534b2b27d0e893bbf-768x479.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
19,療程分類 SERVICE_CATEGORIES,surgery-nose,整型外科｜鼻部,Nose Surgery,韓式隆鼻手術,,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/1b29fa9496181057b3482cb48b3597d9f312e814-768x570.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/1b29fa9496181057b3482cb48b3597d9f312e814-768x570.jpg,1b29fa9496181057b3482cb48b3597d9f312e814-768x570.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
20,療程分類 SERVICE_CATEGORIES,surgery-nose,整型外科｜鼻部,Nose Surgery,卡麥拉隆鼻手術,,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/c36fd352049f7d79acc9c6c2f610fa9dcb00d1d3-768x562.jpg,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/c36fd352049f7d79acc9c6c2f610fa9dcb00d1d3-768x562.jpg,c36fd352049f7d79acc9c6c2f610fa9dcb00d1d3-768x562.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
21,療程分類 SERVICE_CATEGORIES,surgery-nose,整型外科｜鼻部,Nose Surgery,縮鼻翼手術,,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/11287bbed3ca9af00488bc3e87cb9b4c03afc124.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/07/11287bbed3ca9af00488bc3e87cb9b4c03afc124.jpg,11287bbed3ca9af00488bc3e87cb9b4c03afc124.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
22,療程分類 SERVICE_CATEGORIES,surgery-nose,整型外科｜鼻部,Nose Surgery,縮鼻頭手術,,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/49818cce29f3c45ecbad57ef138f88806041b6f1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/49818cce29f3c45ecbad57ef138f88806041b6f1.jpg,49818cce29f3c45ecbad57ef138f88806041b6f1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
23,療程分類 SERVICE_CATEGORIES,surgery-breast,整型外科｜胸型身形,Breast & Body Surgery,果凍矽膠隆乳,,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/195317a0c9f01a6424029a89b608055f84118953.jpg,,https://www.drappletree.com.tw/wp-content/uploads/upload/images/195317a0c9f01a6424029a89b608055f84118953.jpg,195317a0c9f01a6424029a89b608055f84118953.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
24,療程分類 SERVICE_CATEGORIES,surgery-breast,整型外科｜胸型身形,Breast & Body Surgery,自體脂肪隆乳手術,,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/隆乳-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/隆乳-1.jpg,隆乳-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
25,療程分類 SERVICE_CATEGORIES,surgery-breast,整型外科｜胸型身形,Breast & Body Surgery,提胸手術,,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/提胸-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/提胸-1.jpg,提胸-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
26,療程分類 SERVICE_CATEGORIES,surgery-breast,整型外科｜胸型身形,Breast & Body Surgery,乳暈手術,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
27,療程分類 SERVICE_CATEGORIES,surgery-breast,整型外科｜胸型身形,Breast & Body Surgery,平胸手術,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
28,療程分類 SERVICE_CATEGORIES,surgery-lipo,整型外科｜抽脂與拉皮,Liposuction & Facelift,抽脂手術,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
