name,key,status,path,fallback
"索夫波","索夫波","本地","images/*/索夫波","https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-2-768x508.jpg"
"微整注射","Sunmax 膠原蛋白（熊貓針）","本地","images/*/Sunmax 膠原蛋白（熊貓針）","https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-8-768x508.jpg"
"VivaBella 薇貝拉","VivaBella 薇貝拉","本地","images/*/VivaBella 薇貝拉","https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-6-768x508.jpg"
"肉毒桿菌","肉毒桿菌","本地","images/*/肉毒桿菌","https://www.drappletree.com.tw/wp-content/uploads/2021/04/肉毒桿菌BOTOX.jpg"
"玻尿酸填充","玻尿酸填充","本地","images/*/玻尿酸填充","https://www.drappletree.com.tw/wp-content/uploads/2021/04/玻尿酸填充喬亞登.jpg"
"Volite 長效保濕針","Volite 長效保濕針","本地","images/*/Volite 長效保濕針","https://www.drappletree.com.tw/wp-content/uploads/2021/04/volite長效保濕針.jpg"
"Sculptra 舒顏萃","Sculptra 舒顏萃","本地","images/*/Sculptra 舒顏萃","https://www.drappletree.com.tw/wp-content/uploads/2021/04/舒顏翠.jpg"
"Ellanse 洢蓮絲","Ellanse 洢蓮絲","本地","images/*/Ellanse 洢蓮絲","https://www.drappletree.com.tw/wp-content/uploads/2021/04/依蓮絲.jpg"
"AestheFill 艾麗斯","AestheFill 艾麗斯","本地","images/*/AestheFill 艾麗斯","https://www.drappletree.com.tw/wp-content/uploads/2021/04/AestheFill-艾麗斯-new-768x509.jpg"
"塑立愛 少女立提線","塑立愛 少女立提線","本地","images/*/塑立愛 少女立提線","https://www.drappletree.com.tw/wp-content/uploads/2021/04/埋線拉提塑立愛-少女立提線.jpg"
"BELKYRA 倍克脂","BELKYRA 倍克脂","本地","images/*/BELKYRA 倍克脂","https://www.drappletree.com.tw/wp-content/uploads/2021/04/BELKYRA倍克脂-1.jpg"
"腋下止汗","腋下止汗","本地","images/*/腋下止汗","https://www.drappletree.com.tw/wp-content/uploads/2021/04/腋下止汗MIRADRY.jpg"
"整型外科｜眼部","雙眼皮手術","本地","images/*/雙眼皮手術","https://www.drappletree.com.tw/wp-content/uploads/2020/07/42f92e1c615755c73386aafe7958e54fd7fc049a-768x560.jpg"
"開眼頭/開眼尾","開眼頭/開眼尾","本地","images/*/開眼頭/開眼尾","https://www.drappletree.com.tw/wp-content/uploads/2020/07/50cbc5094931dd777718a40b885c5036f15ec925-768x494.jpg"
"眼袋手術","眼袋手術","本地","images/*/眼袋手術","https://www.drappletree.com.tw/wp-content/uploads/2020/07/17d20252eea117c843f18b0534b2b27d0e893bbf-768x479.jpg"
"整型外科｜鼻部","韓式隆鼻手術","本地","images/*/韓式隆鼻手術","https://www.drappletree.com.tw/wp-content/uploads/2020/07/1b29fa9496181057b3482cb48b3597d9f312e814-768x570.jpg"
"卡麥拉隆鼻手術","卡麥拉隆鼻手術","本地","images/*/卡麥拉隆鼻手術","https://www.drappletree.com.tw/wp-content/uploads/upload/images/c36fd352049f7d79acc9c6c2f610fa9dcb00d1d3-768x562.jpg"
"縮鼻翼手術","縮鼻翼手術","本地","images/*/縮鼻翼手術","https://www.drappletree.com.tw/wp-content/uploads/2020/07/11287bbed3ca9af00488bc3e87cb9b4c03afc124.jpg"
"縮鼻頭手術","縮鼻頭手術","本地","images/*/縮鼻頭手術","https://www.drappletree.com.tw/wp-content/uploads/upload/images/49818cce29f3c45ecbad57ef138f88806041b6f1.jpg"
"整型外科｜胸型身形","果凍矽膠隆乳","本地","images/*/果凍矽膠隆乳","https://www.drappletree.com.tw/wp-content/uploads/upload/images/195317a0c9f01a6424029a89b608055f84118953.jpg"
"自體脂肪隆乳手術","自體脂肪隆乳手術","本地","images/*/自體脂肪隆乳手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/隆乳-1.jpg"
"提胸手術","提胸手術","本地","images/*/提胸手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/提胸-1.jpg"
"乳暈手術","乳暈手術","本地","images/*/乳暈手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/乳暈-1.jpg"
"平胸手術","平胸手術","本地","images/*/平胸手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/提胸-1.jpg"
"整型外科｜抽脂與拉皮","抽脂手術","本地","images/*/抽脂手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/抽脂手術.jpg"
"自體脂肪移植手術","自體脂肪移植手術","本地","images/*/自體脂肪移植手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/補臉-1.jpg"
"無痕拉皮手術","無痕拉皮手術","本地","images/*/無痕拉皮手術","https://www.drappletree.com.tw/wp-content/uploads/2021/01/無痕拉皮-1.jpg"
"形體雕塑","Wegovy 週纖達","本地","images/*/Wegovy 週纖達","https://www.drappletree.com.tw/wp-content/uploads/2025/10/縮圖-拷貝-768x508.jpg"
"Mounjaro 猛健樂","Mounjaro 猛健樂","本地","images/*/Mounjaro 猛健樂","https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-1-768x508.jpg"
